month,cartype_all,cartype_car,cartype_truck
2014-08-01,92.75,93.25,92.52
2011-05-01,124.75,131.08,120.58
2011-09-01,119.5,135.02,108
2021-03-01,103.16,105.02,101.83
2017-03-01,107.41,108.31,106.73
2021-09-01,95.66,95.09,95.99
2014-07-01,92.07,91.37,92.84
2019-09-01,96.48,97.73,95.54
2012-01-01,139.96,147.61,133.75
2018-09-01,98.48,99.38,97.75
2013-05-01,114.48,114.57,114.91
2017-07-01,103.23,105.21,101.83
2019-07-01,99.48,100.21,98.82
2017-09-01,100.14,99.5,100.54
2015-02-01,104.14,105.72,103.01
2013-07-01,104.64,104.2,105.54
2022-06-01,109.39,115.55,109.39
2011-08-01,118.39,130.8,109.4
2017-02-01,107.14,106.23,107.67
2019-02-01,107.39,108.87,106.29
2018-01-01,108.55,112.16,106.03
2011-10-01,120.55,131.88,112.07
2013-09-01,101.3,100.76,102.21
2019-08-01,97.55,95.79,98.32
2012-03-01,134.35,139.77,129.92
2013-12-01,91.8,88.01,95.55
2017-04-01,108.71,107.92,109.15
2013-08-01,105.21,103.86,106.91
2020-02-01,97.96,97.74,97.94
2015-06-01,101.96,102,101.97
2017-05-01,106.46,107.7,105.55
2016-01-01,107.71,105.01,109.46
2021-06-01,103.96,103.5,104.26
2021-10-01,100.12,101.81,98.91
2019-03-01,105.87,108.06,104.37
2016-06-01,105.87,104.1,106.97
2019-01-01,102.62,104.01,101.58
2018-10-01,95.37,97.57,93.88
2011-04-01,120.28,132.52,112.53
2017-08-01,101.28,103.94,99.4
2020-11-01,98.78,99.57,98.18
2020-05-01,87.03,87.29,86.73
2012-05-01,127.03,129.17,125.49
2012-09-01,119.28,123.77,115.63
2012-12-01,115.53,117.1,114.47
2014-12-01,87.78,84.89,90.19
2018-12-01,92.19,94.99,90.39
2011-11-01,120.44,125.05,117.04
2019-04-01,104.94,106.44,103.83
2013-06-01,110.44,108.88,112.5
2016-12-01,94.69,92.54,96.08
2015-08-01,93.1,92.09,93.83
2014-03-01,101.1,98.58,103.62
2021-05-01,105.1,107.54,103.35
2016-07-01,101.85,102.34,101.45
2017-12-01,94.35,93.85,94.64
2022-03-01,114.35,116.8,112.63
2015-04-01,102.85,103.64,102.31
2020-10-01,103.1,104.89,101.82
2018-02-01,112.01,112.62,111.53
2013-01-01,124.01,124.31,124.11
2014-04-01,100.26,97.73,102.71
2020-04-01,80.51,80.6,80.33
2012-08-01,124.51,129.99,120.01
2021-12-01,104.76,105.07,104.46
2015-03-01,105.01,105.26,104.9
2017-01-01,105.26,102.59,106.99
2021-08-01,95.01,95.98,94.31
2011-07-01,124.92,140.01,114.44
2018-08-01,98.42,100.76,96.84
2012-06-01,125.58,131.18,120.92
2015-05-01,102.08,103.29,101.23
2012-07-01,118.83,120.45,117.73
2013-10-01,95.83,95.41,96.54
2022-02-01,117.99,123.56,114.21
2020-03-01,91.74,93.89,90.26
2014-10-01,91.99,91.13,92.83
2016-05-01,104.4,102.25,105.76
2016-04-01,105.65,100.87,108.78
2019-10-01,90.4,91.59,89.51
2021-02-01,99.15,99.52,98.85
2014-05-01,96.31,93.11,99.21
2014-11-01,92.56,90.74,94.17
2014-09-01,93.06,92.44,93.72
2020-08-01,101.31,100.29,101.88
2011-06-01,121.31,137.74,110.49
2017-10-01,101.56,100.95,101.96
2015-12-01,97.81,95.6,99.23
2019-05-01,103.06,105.17,101.6
2018-04-01,107.31,108.51,106.42
2021-01-01,99.81,102.42,97.97
2011-12-01,124.72,127.74,122.46
2016-08-01,96.97,96.27,97.34
2018-05-01,105.72,106.5,105.07
2015-07-01,97.97,98.59,97.53
2011-03-01,119.47,134.67,110.04
2018-11-01,91.97,95.21,89.9
2012-04-01,135.94,143.33,129.71
2014-06-01,93.88,94.44,93.59
2021-04-01,104.29,104.37,104.23
2019-06-01,100.54,101.16,99.94
2019-11-01,88.79,89.69,88.07
2014-01-01,101.04,96.89,105.06
2012-10-01,117.04,117.45,117.05
2013-03-01,125.04,128.59,122.22
2015-01-01,101.79,101.93,101.8
2018-06-01,107.29,107.88,106.75
2016-02-01,108.7,107.09,109.71
2016-03-01,109.45,107.5,110.72
2022-01-01,113.95,117.78,111.32
2020-01-01,98.2,98.89,97.62
2020-09-01,102.95,103.91,102.23
2015-11-01,99.2,98.57,99.57
2021-11-01,103.45,105.55,101.96
2016-09-01,100.86,101.76,100.17
2016-11-01,97.11,96.43,97.49
2018-03-01,113.61,116.54,111.57
2020-12-01,98.11,100.39,96.5
2012-11-01,118.36,117.84,119.2
2022-05-01,111.11,117.01,107.25
2022-04-01,111.11,115.01,108.48
2018-07-01,103.61,110.92,99.01
2015-10-01,97.02,95.36,98.16
2015-09-01,97.02,97.89,96.39
2019-12-01,89.27,90.47,88.38
2017-11-01,98.02,101.76,95.39
2021-07-01,99.02,99.77,98.47
2013-04-01,119.27,122.08,117.07
2013-11-01,96.68,94.4,99.1
2011-02-01,120.68,136.16,111.08
2014-02-01,105.18,102.9,107.5
2020-07-01,101.68,101.64,101.59
2013-02-01,126.18,126.43,126.35
2016-10-01,98.93,98.17,99.33
2017-06-01,106.93,110.19,104.67
2020-06-01,97.34,98.75,96.32
2012-02-01,131.93,135.92,128.79
2011-01-01,115.59,124.84,109.84
